index,name,full_name,birth,death,birth_city,birth_province,succession,reign_start,reign_end,cause,killer,dynasty,era
29,Pupienus,CAESAR MARCVS CLODIVS PVPIENVS MAXIMVS AVGVSTVS,0178-01-01T00:53:28+00:53,0238-07-29T00:53:28+00:53,,,Appointment by Senate,0238-04-22T00:53:28+00:53,0238-07-29T00:53:28+00:53,Assassination,Praetorian Guard,Gordian,Principate
30,Philip I,CAESAR MARCVS IVLIVS PHILIPPVS AVGVSTVS,0204-01-01T00:53:28+00:53,0249-10-01T00:53:28+00:53,Shahba,Syria,Seized Power,0244-02-14T00:53:28+00:53,0249-10-01T00:53:28+00:53,Execution,Other Emperor,Gordian,Principate
31,Trajan Decius,CAESAR GAIVS MESSIVS QVINTVS TRAIANVS DECIVS AVGVSTVS,0201-01-01T00:53:28+00:53,0251-06-15T00:53:28+00:53,Budalia,Pannonia Inferior,Appointment by Army,0249-10-01T00:53:28+00:53,0251-06-15T00:53:28+00:53,Died in Battle,Opposing Army,Gordian,Principate
32,Trebonianus Gallus,CAESAR GAIVS VIBIVS TREBONIANVS GALLVS AVGVSTVS,0206-01-01T00:53:28+00:53,0253-08-15T00:53:28+00:53,,Italia,Appointment by Army,0251-06-15T00:53:28+00:53,0253-08-15T00:53:28+00:53,Assassination,Other Emperor,Gordian,Principate
33,Hostilian,CAESAR CAIVS VALENS HOSTILIANVS MESSIVS QVINTVS AVGVSTVS,0230-01-01T00:53:28+00:53,0251-10-01T00:53:28+00:53,Sirmium,Pannonia,Birthright,0251-06-15T00:53:28+00:53,0251-10-01T00:53:28+00:53,Natural Causes,Disease,Gordian,Principate
34,Aemilian,CAESAR MARCVS AEMILIVS AEMILIANVS AVGVSTVS,0207-01-01T00:53:28+00:53,0253-10-15T00:53:28+00:53,,Africa,Appointment by Army,0253-08-15T00:53:28+00:53,0253-10-15T00:53:28+00:53,Assassination,Other Emperor,Gordian,Principate
35,Valerian,CAESAR PVBLIVS LICINIVS VALERIANVS AVGVSTVS,0195-01-01T00:53:28+00:53,0264-01-01T00:53:28+00:53,,,Appointment by Army,0253-10-15T00:53:28+00:53,0260-01-01T00:53:28+00:53,Captivity,Opposing Army,Gordian,Principate
36,Gallienus,CAESAR PVBLIVS LICINIVS EGNATIVS GALLIENVS AVGVSTVS,0218-01-01T00:53:28+00:53,0268-09-15T00:53:28+00:53,,,Birthright,0253-10-15T00:53:28+00:53,0268-09-15T00:53:28+00:53,Assassination,Own Army,Gordian,Principate
37,Claudius Gothicus,CAESAR MARCVS AVRELIVS CLAVDIVS AVGVSTVS,0213-05-10T00:53:28+00:53,0270-01-15T00:53:28+00:53,Sirmium,Pannonia,Seized Power,0268-09-15T00:53:28+00:53,0270-01-15T00:53:28+00:53,Natural Causes,Disease,Gordian,Principate
38,Quintillus,CAESAR MARCVS AVRELIVS CLAVDIVS QVINTILLVS AVGVSTVS,0212-01-01T00:53:28+00:53,0270-04-15T00:53:28+00:53,Sirmium,Pannonia,Birthright,0270-01-15T00:53:28+00:53,0270-04-15T00:53:28+00:53,Unknown,Unknown,Gordian,Principate
39,Aurelian,CAESAR LVCIVS DOMITIVS AVRELIANVS AVGVSTVS,0214-09-09T00:53:28+00:53,0275-09-15T00:53:28+00:53,Sirmium,Pannonia,Appointment by Army,0270-09-15T00:53:28+00:53,0275-09-15T00:53:28+00:53,Assassination,Praetorian Guard,Gordian,Principate
